SimulationV011.py[0, [0, 6, 6, 0, 0, 0]]
[1, [0, 12, 12, 0, 0, 0]]
[2, [20, 18, 18, 0, 0, 0]]
[3, [20, 24, 24, 0, 0, 0]]
[4, [20, 30, 30, 0, 0, 0]]
[5, [40, 36, 36, 0, 0, 0]]
[6, [40, 42, 42, 0, 0, 0]]
[7, [40, 48, 48, 0, 0, 0]]
[8, [60, 54, 54, 0, 0, 0]]
[9, [60, 60, 60, 0, 0, 0]]
[10, [60, 66, 66, 0, 0, 0]]
[11, [80, 72, 72, 0, 0, 0]]
[12, [80, 78, 78, 0, 0, 0]]
[13, [80, 84, 84, 0, 0, 0]]
[14, [100, 90, 90, 0, 0, 0]]
[15, [100, 96, 96, 0, 0, 0]]
[16, [100, 102, 102, 0, 0, 0]]
[17, [120, 108, 108, 0, 0, 0]]
[18, [120, 114, 114, 0, 0, 0]]
[19, [120, 120, 120, 120, 0, 0]]
[20, [140, 126, 126, 120, 0, 0]]
[21, [140, 132, 132, 120, 0, 0]]
[22, [140, 138, 138, 120, 0, 0]]
[23, [160, 144, 144, 120, 0, 0]]
[24, [160, 150, 150, 120, 0, 0]]
[25, [160, 156, 156, 120, 0, 0]]
[26, [180, 162, 162, 120, 0, 0]]
[27, [180, 168, 168, 120, 0, 0]]
[28, [180, 174, 174, 120, 0, 0]]
[29, [200, 180, 180, 120, 0, 0]]
[30, [200, 186, 186, 120, 0, 0]]
[31, [200, 192, 192, 120, 0, 0]]
[32, [220, 198, 198, 120, 0, 0]]
[33, [220, 204, 204, 120, 0, 0]]
[34, [220, 210, 210, 120, 0, 0]]
[35, [240, 216, 216, 120, 0, 0]]
[36, [240, 222, 222, 120, 0, 0]]
[37, [240, 228, 228, 120, 0, 0]]
[38, [260, 234, 234, 120, 0, 0]]
[39, [260, 240, 240, 240, 0, 0]]
[40, [260, 246, 246, 96, 144, 0]]
[41, [274, 246, 246, 96, 138, 0]]
[42, [268, 246, 246, 96, 132, 0]]
[43, [262, 246, 246, 96, 126, 0]]
[44, [276, 246, 246, 96, 120, 0]]
[45, [270, 246, 246, 96, 114, 0]]
[46, [264, 246, 246, 96, 108, 0]]
[47, [278, 246, 246, 96, 102, 0]]
[48, [272, 246, 246, 96, 96, 0]]
[49, [266, 246, 246, 96, 90, 0]]
[50, [280, 246, 246, 96, 84, 0]]
[51, [274, 246, 246, 96, 78, 0]]
[52, [268, 246, 246, 96, 72, 0]]
[53, [282, 246, 246, 96, 66, 0]]
[54, [276, 246, 246, 96, 60, 0]]
[55, [270, 246, 246, 96, 54, 0]]
[56, [284, 246, 246, 96, 48, 0]]
[57, [278, 246, 246, 96, 42, 0]]
[58, [272, 246, 246, 96, 36, 0]]
[59, [286, 246, 246, 216, 30, 0]]
[60, [280, 246, 246, 72, 168, 0]]
