SimulationV08.py[0, [0, 18, 18, 0, 0, 0]]
[1, [0, 36, 36, 0, 0, 0]]
[2, [52, 54, 54, 0, 0, 0]]
[3, [52, 72, 72, 0, 0, 0]]
[4, [52, 90, 90, 0, 0, 0]]
[5, [104, 108, 108, 0, 0, 0]]
[6, [104, 126, 126, 0, 0, 0]]
[7, [104, 144, 144, 0, 0, 0]]
[8, [156, 162, 162, 0, 0, 0]]
[9, [156, 180, 180, 0, 0, 0]]
[10, [156, 198, 198, 0, 0, 0]]
[11, [208, 216, 216, 0, 0, 0]]
[12, [208, 234, 234, 0, 0, 0]]
[13, [208, 252, 252, 0, 0, 0]]
[14, [260, 270, 270, 0, 0, 0]]
[15, [260, 288, 288, 0, 0, 0]]
[16, [260, 306, 306, 0, 0, 0]]
[17, [312, 324, 324, 0, 0, 0]]
[18, [312, 342, 342, 0, 0, 0]]
[19, [312, 360, 360, 315, 0, 0]]
[20, [364, 378, 378, 186, 144, 0]]
[21, [334, 366, 366, 42, 255, 3]]
[22, [304, 354, 354, 42, 222, 6]]
[23, [326, 342, 342, 42, 189, 9]]
[24, [286, 320, 320, 72, 156, 2]]
[25, [256, 308, 308, 72, 123, 5]]
[26, [278, 296, 296, 72, 90, 8]]
[27, [238, 274, 274, 72, 57, 1]]
[28, [208, 262, 262, 87, 24, 4]]
[29, [240, 260, 260, 87, 0, 8]]
[30, [240, 278, 278, 87, 0, 8]]
[31, [240, 296, 296, 87, 0, 8]]
[32, [292, 314, 314, 87, 0, 8]]
[33, [292, 332, 332, 87, 0, 8]]
[34, [292, 350, 350, 87, 0, 8]]
[35, [344, 368, 368, 87, 0, 8]]
[36, [344, 386, 386, 87, 0, 8]]
[37, [344, 404, 404, 87, 0, 8]]
[38, [396, 422, 422, 87, 0, 8]]
[39, [396, 440, 440, 402, 0, 8]]
[40, [396, 458, 458, 273, 144, 8]]
[41, [408, 436, 436, 129, 255, 1]]
[42, [378, 424, 424, 129, 222, 4]]
[43, [348, 412, 412, 129, 189, 7]]
[44, [360, 390, 390, 159, 156, 0]]
[45, [330, 378, 378, 15, 267, 3]]
[46, [300, 366, 366, 15, 234, 6]]
[47, [322, 354, 354, 15, 201, 9]]
[48, [282, 332, 332, 30, 168, 2]]
[49, [252, 320, 320, 30, 135, 5]]
[50, [274, 308, 308, 30, 102, 8]]
[51, [234, 286, 286, 30, 69, 1]]
[52, [204, 274, 274, 30, 36, 4]]
[53, [226, 262, 262, 30, 3, 7]]
[54, [216, 270, 270, 30, 0, 0]]
[55, [216, 288, 288, 30, 0, 0]]
[56, [268, 306, 306, 30, 0, 0]]
[57, [268, 324, 324, 30, 0, 0]]
[58, [268, 342, 342, 30, 0, 0]]
[59, [320, 360, 360, 315, 0, 0]]
[60, [320, 378, 378, 186, 144, 0]]
[61, [290, 366, 366, 42, 255, 3]]
[62, [312, 354, 354, 42, 222, 6]]
[63, [282, 342, 342, 42, 189, 9]]
[64, [242, 320, 320, 72, 156, 2]]
[65, [264, 308, 308, 87, 123, 5]]
[66, [234, 296, 296, 87, 90, 8]]
[67, [194, 274, 274, 87, 57, 1]]
[68, [216, 262, 262, 102, 24, 4]]
[69, [196, 260, 260, 102, 0, 8]]
[70, [196, 278, 278, 102, 0, 8]]
[71, [248, 296, 296, 102, 0, 8]]
